[2025-02-03 17:06:06,036 web_scraper.py->__init__():65]INFO: LinkedIn Scraper Class Initiated
[2025-02-03 17:06:07,519 web_scraper.py->setup_driver():98]INFO: WebDriver Initialized
[2025-02-03 17:06:15,997 web_scraper.py->_linkedin_login():173]INFO: Login Successful
[2025-02-03 17:06:46,849 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:46,863 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:46,864 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:46,864 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:46,865 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:46,865 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:46,865 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:46,865 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:46,865 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:46,996 web_scraper.py->download_image():434]INFO: Downloaded: 1_1738312196468.png
[2025-02-03 17:06:47,030 web_scraper.py->download_image():434]INFO: Downloaded: 1_1738312196922.png
[2025-02-03 17:06:47,064 web_scraper.py->download_image():434]INFO: Downloaded: 1_1738312196977.png
[2025-02-03 17:06:47,101 web_scraper.py->download_image():434]INFO: Downloaded: 1_1738312196716.png
[2025-02-03 17:06:47,102 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:47,102 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:47,103 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:47,103 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:47,104 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:47,105 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:47,150 web_scraper.py->download_image():434]INFO: Downloaded: 3_1737555174045.png
[2025-02-03 17:06:47,151 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:47,151 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:47,152 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:47,152 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:47,153 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:47,153 web_scraper.py->is_valid_image():394]INFO: Image is Valid
